,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Column,"['air_GW', 'real_pop_GW']","['air_GW', 'pop_GW']","['air_GW', 'pop_male_GW']","['air_GW', 'pop_female_GW']","['air_GW', 'mvpop_GW']","['air_GW', 'station_GW']","['real_pop_GW', 'pop_GW']","['real_pop_GW', 'pop_male_GW']","['real_pop_GW', 'pop_female_GW']","['real_pop_GW', 'mvpop_GW']","['real_pop_GW', 'station_GW']","['pop_GW', 'pop_male_GW']","['pop_GW', 'pop_female_GW']","['pop_GW', 'mvpop_GW']","['pop_GW', 'station_GW']","['pop_male_GW', 'pop_female_GW']","['pop_male_GW', 'mvpop_GW']","['pop_male_GW', 'station_GW']","['pop_female_GW', 'mvpop_GW']","['pop_female_GW', 'station_GW']","['mvpop_GW', 'station_GW']"
MAE,1.2227519750595093,1.2838410139083862,1.219902515411377,1.271269679069519,1.2523151636123657,1.245043158531189,1.2636394500732422,1.219490647315979,1.2154314517974854,1.2278560400009155,1.2223001718521118,1.232499599456787,1.229004144668579,1.2429918050765991,1.2288450002670288,1.241970181465149,1.2982724905014038,1.2800686359405518,1.2677439451217651,1.2080949544906616,1.2780183553695679
MAE_val,3.1138951778411865,2.111124277114868,6.737593173980713,2.296372652053833,3.0582969188690186,2.9162793159484863,2.773693799972534,4.810446262359619,2.349451780319214,2.9034178256988525,3.0231196880340576,2.0032804012298584,1.956225872039795,5.157861232757568,2.154092311859131,2.7525274753570557,2.5002641677856445,3.7063217163085938,4.112447738647461,2.895841121673584,2.0910189151763916
